fourletter_code,english_name,scientific_name
YBTY,Yellow-bellied Tyrannulet,Ornithion semiflavum
YBIC,Yellow-billed Cacique,Amblycercus holosericeus
YBCA,Yellow-billed Cardinal,Paroaria capitata
YBCO,Yellow-billed Cotinga,Carpodectes antoniae
YBCU,Yellow-billed Cuckoo,Coccyzus americanus
YBLO,Yellow-billed Loon,Gavia adamsii
YBMA,Yellow-billed Magpie,Pica nuttalli
YBPA,Yellow-billed Parrot,Amazona collaria
YBTE,Yellow-billed Tern,Sternula superciliaris
YBSB,Yellow-breasted Bunting,Emberiza aureola
YBCH,Yellow-breasted Chat,Icteria virens
YBCR,Yellow-breasted Crake,Hapalocrex flaviventer
YBRF,Yellow-breasted Flycatcher,Tolmomyias flaviventris
YBWB,Yellow-browed Bunting,Emberiza chrysophrys
YBSV,Yellow-browed Shrike-Vireo,Vireolanius eximius
YBWA,Yellow-browed Warbler,Phylloscopus inornatus
YCCH,Yellow-collared Chlorophonia,Chlorophonia flavirostris
YCBI,Yellow-crowned Bishop,Euplectes afer
YCEU,Yellow-crowned Euphonia,Euphonia luteicapilla
YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea
YCPA,Yellow-crowned Parrot,Amazona ochrocephala
YCTY,Yellow-crowned Tyrannulet,Tyrannulus elatus
YETO,Yellow-eared Toucanet,Selenidera spectabilis
YEJU,Yellow-eyed Junco,Junco phaeonotus
YFGR,Yellow-faced Grassquit,Tiaris olivaceus
YFGU,Yellow-footed Gull,Larus livens
YFCA,Yellow-fronted Canary,Crithagra mozambica
YGBR,Yellow-green Brushfinch,Atlapetes luteoviridis
YGGR,Yellow-green Grosbeak,Caryothraustes canadensis
YGTY,Yellow-green Tyrannulet,Phylloscartes flavovirens
YGVI,Yellow-green Vireo,Vireo flavoviridis
YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus
YHCA,Yellow-headed Caracara,Milvago chimachima
YHPA,Yellow-headed Parrot,Amazona oratrix
YHWA,Yellow-headed Warbler,Teretistris fernandinae
YHOB,Yellow-hooded Blackbird,Chrysomus icterocephalus
YLGU,Yellow-legged Gull,Larus michahellis
YLPA,Yellow-lored Parrot,Amazona xantholora
YMFL,Yellow-margined Flycatcher,Tolmomyias assimilis
YNPA,Yellow-naped Parrot,Amazona auropalliata
YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos
YOFL,Yellow-olive Flycatcher,Tolmomyias sulphurescens
YRCA,Yellow-rumped Cacique,Cacicus cela
YRWA,Yellow-rumped Warbler,Setophaga coronata
YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus
YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus
YTOR,Yellow-tailed Oriole,Icterus mesomelas
YTBR,Yellow-thighed Brushfinch,Atlapetes tibialis
YTBU,Yellow-throated Bunting,Emberiza elegans
YTCH,Yellow-throated Chlorospingus,Chlorospingus flavigularis
YTEU,Yellow-throated Euphonia,Euphonia hirundinacea
YTTO,Yellow-throated Toucan,Ramphastos ambiguus
YTVI,Yellow-throated Vireo,Vireo flavifrons
YTWA,Yellow-throated Warbler,Setophaga dominica
YWCA,Yellow-winged Cacique,Cassiculus melanicterus
YWTA,Yellow-winged Tanager,Thraupis abbas
YWVI,Yellow-winged Vireo,Vireo carmioli
YEFL,Yellowish Flycatcher,Empidonax flavescens
YEPI,Yellowish Pipit,Anthus lutescens
YUFL,Yucatan Flycatcher,Myiarchus yucatanensis
YUGN,Yucatan Gnatcatcher,Polioptila albiventris
YUJA,Yucatan Jay,Cyanocorax yucatanicus
YUNI,Yucatan Nightjar,Antrostomus badius
YUPO,Yucatan Poorwill,Nyctiphrynus yucatanicus
YUVI,Yucatan Vireo,Vireo magister
YUWO,Yucatan Woodpecker,Melanerpes pygmaeus
YUWR,Yucatan Wren,Campylorhynchus yucatanicus
ZARA,Zapata Rail,Cyanolimnas cerverai
ZASP,Zapata Sparrow,Torreornis inexpectata
ZAWR,Zapata Wren,Ferminia cerverai
ZEBD,Zebra Dove,Geopelia striata
ZEAN,Zeledon's Antbird,Myrmeciza zeledoni
ZEND,Zenaida Dove,Zenaida aurita
ZIPE,Zino's Petrel,Pterodroma madeira
ZTHA,Zone-tailed Hawk,Buteo albonotatus
